id,routing_id,producing_step_id,step_number,created_at,updated_at,description,boo_ id,BOO_ version _id
1,1,1,1,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,1,1
2,1,2,2,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,1,1
3,1,3,3,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,1,1
4,2,4,1,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,2,2
5,2,5,2,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,2,2
6,2,6,3,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,2,2
7,2,7,4,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,2,2
8,3,4,1,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,3,3
9,3,5,2,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,3,3
10,3,6,3,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,3,3
11,3,7,4,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,3,3
12,4,4,1,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,4,4
13,4,5,2,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,4,4
14,4,6,3,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,4,4
15,4,7,4,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,4,4
16,5,4,1,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,5,5
17,5,5,2,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,5,5
18,5,6,3,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,5,5
19,5,7,4,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,5,5
20,6,4,1,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,6,6
21,6,5,2,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,6,6
22,6,6,3,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,6,6
23,6,7,4,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,6,6
24,7,4,1,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,7,7
25,7,5,2,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,7,7
26,7,6,3,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,7,7
27,7,7,4,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,7,7
28,8,4,1,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,8,8
29,8,5,2,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,8,8
30,8,6,3,2024-09-12 09:16:40.004424 +00:00,2024-09-12 09:16:40.004424 +00:00,,8,8
